movie_title,link,year,genre,synopsis,cast,lang
Better Days,/30499-the-youthful-you-who-was-so-beautiful,2019,"Psychological, Romance, Youth, Drama","The film revolves around a girl who is being bullied at school and her relationship with a tough street kid, with whom she is implicated in the murder of a teenage girl. ","Derek Tsang  (dir.), Zhou Dong Yu, Jackson Yee",Chinese
Miracle in Cell No. 7,/4517-miracle-in-cell-no.-7,2013,"Comedy, Drama, Family","Lee Yong Gu is a mentally impaired father, who lives in a run-down house along with his daughter of the same age, Ye Seung. One day, he gets into a physical altercation with the police commissioner, who has just purchased the last Sailor Moon backpack for his daughter, a gift Yong Gu was saving up to buy for Ye Seung. Soon after, the police commissioner's daughter dies in a freak accident while she is taking Yong Gu to another store that sells the same backpack. When he tries to resuscitate her, a woman witnesses him and mistakes him to be molesting her. Yong Gu is falsely accused of the abduction, murder, and rape of a minor. The police quickly take advantage of his disability and force him to admit to committing the crimes, while ignoring exonerating evidence. Yong Gu is imprisoned and assigned to Cell No. 7, the harshest cell in a maximum security prison. ","Ryu Seung Ryong, Gal So Won",Korean
Hope,/7431-hope,2013,"Psychological, Life, Drama","On the way to school, a girl named So Won (which literally means ""desire"" or ""hope"" in Korean) is sexually assaulted by a drunk male stranger. As a result, she suffers from multiple internal injuries and must undergo major surgery, but her emotional wounds are equally difficult to heal. Their happy family fell apart, her parents Dong Hoon and Mi Hee have feelings of pain and anger. Since that day's trauma, So Won refuses to see or speak to her father, so Dong Hoon hides under the costume of his daughter's favorite cartoon character and becomes a ""guardian angel"" by her side. ~~ Inspired by the real events of the ""Cho Doo Soon"" case that happened in December 2008. ","Lee Joon Ik  (dir.), Sol Kyung Gu, Uhm Ji Won",Korean
Parasite,/23429-parasite,2019,"Thriller, Comedy, Drama","Kim Gi Woo is a young man who lives with his unemployed, poor family of four in a semi-basement. One day, his friend Min Hyuk tells him that he is leaving to study abroad and that he should replace him as the tutor of a rich family. Ki Taek then meets the Parks, a rich family of four who are the owners of a global IT firm. Yun Gyo, the lady of the Park's house, accepts Gi Woo as a tutor for her daughter, and he uses Yun Gyo’s naiveness as a chance to employ his other family members. ","Choi  Woo Shik, Park So Dam",Korean
Train to Busan,/11314-train-to-busan,2016,"Action, Thriller, Horror","Seok Woo, his estranged daughter Soo An, and other passengers become trapped on a KTX train (high-speed train) heading from Seoul to Busan during a disastrous virus outbreak in South Korea. ","Gong Yoo, Jung Yu Mi",Korean
A Taxi Driver,/17009-a-taxi-driver,2017,"Action, Historical, Family, Political","A widowed taxi driver raises his young daughter alone and works hard to pay back the hospital bills left behind by his late wife. One day, he hears that a foreigner is willing to pay a large sum for a drive from Seoul to Gwangju city and back. Not knowing that the foreigner was a German journalist, he takes the job and sets off on a journey together. ","Jang Hoon  (dir.), Song Kang Ho, Thomas Kretschmann",Korean
Silenced,/2107-the-crucible,2011,"Mystery, Psychological, Drama","Gang In Ho is the newly appointed art teacher at Gwangju Inhwa School, a school for hearing-impaired children. He is excited to teach his new students, yet the children are aloof and distant, trying to avoid running into him as much as possible. When the children finally open up, In Ho faces the shocking and ugly truth about the school and what the students have been enduring in secret. ","Gong Yoo, Jung Yu Mi",Korean
The Man from Nowhere,/462-the-man-from-nowhere,2010,"Action, Thriller, Crime, Drama","Cha Tae Shik leads a quiet life running a pawnshop. His only friend is a little girl, So Mi, who lives next door. So Mi's mother, Hyo Jeong, is a heroin addict. One day, Hyo Jeong decided to steals drugs from a feared organized crime group. Crime lord Oh Myung Gyu sent his subordinates, brothers Man Seok and Jong Seok to retrieve the drugs from Hyo Jeong. They then kidnap her and So Mi. Tae Shik sets off to rescue them. ","Won Bin, Kim Sae Ron",Korean
Rurouni Kenshin: The Legend Ends,/7436-rurouni-kenshin-the-legend-ends,2014,"Action, Adventure, Historical, Drama","Shishio has set sail in his ironclad ship to bring down the Meiji government and return Japan to chaos, carrying Kaoru with him. In order to stop him in time, Kenshin trains with his old master to learn his final technique.  ","Satoh Takeru, Takei Emi",Japanese
Sunny,/1366-sunny-2011,2011,"Comedy, Romance, Drama, Melodrama","Na Mi fondly recalls her childhood pal Chun Hwa, who befriended her as the ostracized, new girl in school, welcoming her into a clique nicknamed “Sunny.” Together, they survive tumultuous ’80s Seoul and vow to remain together forever. Now a housewife with an ungrateful teenage daughter and trapped in a stale marriage to a wealthy but unaffectionate husband, Na Mi long ago lost touch with the six girls from whom she was once inseparable, torn apart by circumstance. But one day while visiting her mother at the hospital she encounters Chun Hwa, who is now terminally ill. As the two renew their relationship and reminisce, Chun Hwa implores Na Mi to bring the scattered group together one last time. Featuring an ’80s pop hits soundtrack, this heartwarming film will alternately make you laugh and cry as these long-lost friends discover they can still change one another’s lives. ","Shim Eun Kyung, Kang So Ra",Korean
Our Times,/15091-our-times,2015,"Friendship, Romance, Youth, Drama","Lin Zhen Xin is an ordinary office worker who gets ridiculed by her subordinates. Dejected, she listens to a cassette recording of an old Andy Lau song. This brings her back to her high school days, where she was an ordinary high school girl. She has a crush on Ouyang Fei Fan, the school's most popular male student. One day, Zhen Xin receives a chain letter, warning her of impending doom if she does not pass the message on. Naively, she passes it on to Hsu Tai Yu, the school's notorious gangster boss, her maths teacher, and Tao Min Min, the school's most popular girl. While Tai Yu was reading the letter, he gets injured in a car accident. After weeding out the letter's sender, the angry Tai Yu makes Zhen Xin his 'friend' and forces her to run errands for him in exchange for leaving Fei Fan alone, thus making her his errand-girl. ","Frankie Chen  (dir.), Vivian Sung, Darren Wang",Chinese
Life: Love on the Line (Director's Cut),/680711-life-senjou-no-bokura-director-s-cut,2020,"Romance, Life, Youth, Drama","One day after school, the serious Ito and the child-like Nishi meet by chance, as each endeavors to remain walking  on the sidewalk`s white line. As time goes by, Ito recognizes he is drawn to Nishi in a way that is new to him. Nishi, for his part, is frustrated that they only get to meet on the sidewalk. Ito decides to act upon his feelings and kisses a surprised Nishi, who agrees they need to walk side by side for a change. The sparks between them are undeniable as their relationship blossoms in high school, survives the college years, and matures into adulthood. A deeply moving work that bears witness to loving partners, whose unchanging feelings must co-exist within a world of changing realities. ","Ninomiya Takashi  (dir.), Shirasu Jin, Raiku",Japanese
Midnight Runners,/20890-midnight-runners,2017,"Action, Mystery, Comedy, Crime",Two students from Korean National Police University decide to work together and track down a kidnapping incident. ,"Park Seo Joon, Kang Ha Neul",Korean
Along with the Gods: The Last 49 Days,/28305-along-with-the-gods-the-last-49-days,2018,"Action, Drama, Fantasy","Hae Won Maek, Gang Rim, and Duk Choon are about to take part in Soo Hong’s trial. However, to secure a trial, they are tasked with bringing the soul of an old man who is protected by House God within 49 days. Gang Rim accompanies Soo Hong, while Hae Won Maek and Duk Choon go down into the human world, where they discover that the House God knows of their forgotten previous lives. ~~ Adaptation from the webtoon of the same title by Joo Ho Min (주호민). ","Kim Yong Hwa  (dir.), Ha Jung Woo, Joo Ji Hoon",Korean
Rurouni Kenshin: Kyoto Inferno,/7435-rurouni-kenshin-kyoto-inferno,2014,"Action, Adventure, Historical, Drama","The ""Kyoto Version"" takes place several months after Kenshin joins the Kamiya Dojo. Shishio Makoto plans to conquer Japan by destroying the Meiji Government, starting with Kyoto. Feeling that his friends may be attacked, Kenshin goes to meet Shishio alone in order to defeat him. However, many of his friends, including a young Oniwabanshuu named Makimachi Misao, decide to help him in his fight. ","Satoh Takeru, Takei Emi",Japanese
Gameboys: The Movie,/701463-gameboys-the-movie,2021,"Romance, Youth, Drama","""Gameboys: The Movie"" follows the story of gamers turned lovers Cairo and Gavreel as they get to spend time together in Gavreel's house, a few weeks before Cairo returns to his province. What starts out as a romantic holiday for the young couple turns into a relationship test that they have to overcome. Cairo is faced with the reality of his imminent departure while Gavreel is compelled to make a life-changing decision. After defying distance and even the pandemic, will Cairo and Gavreel be able to prove once again that their love for each other is strong enough to withstand fate and circumstance?  ","Ivan Andrew Payawal  (dir.), Kokoy de Santos, Elijah Canlas",Filipino
Be with You,/24153-be-with-you,2018,"Romance, Family, Fantasy, Melodrama","Soo Ah, before passing away makes an unbelievable promise to her husband, Woo Jin, to return one year later on a rainy day. Miraculously, she keeps the promise and reappears before her husband and son but all her memories have disappeared. Tragically, the relief at their reunion is short-lived, because it turns out that Soo Ah has to leave her family once again. ","So Ji Sub, Son Ye Jin",Korean
